X,Y,CVEMUNI,LAYER,NOM_MUN,OID,XCOORD,YCOORD
-96.761194653031041,17.097877781795649,20157,MUNICIPAL,San Jacinto Amilpas,1,       3057860.312558,        578147.549652
-99.827320700808045,20.221897322715815,15071,MUNICIPAL,Polotitln,2,       2726173.901245,        914852.823066
-95.786580863503644,17.496401296829763,20205,MUNICIPAL,San Juan Lalana,3,       3159672.442057,        626371.586997
-97.036673372109917,18.052359746373035,20206,MUNICIPAL,San Juan de los Cus,4,       3024883.040296,        682665.824145
-95.760080395746343,16.25559676613031,20008,MUNICIPAL,Asuncin Tlacolulita,5,       3168463.890228,        489142.051774
-97.10873103939943,16.315535308423634,20314,MUNICIPAL,San Pedro Juchatengo,6,       3023824.023881,        490180.039494
-97.299031446531743,18.008021485515396,20548,MUNICIPAL,Tepelmeme Villa de Morelos,7,       2997308.971519,        676830.733820
-97.442513005085885,17.989805346339995,20018,MUNICIPAL,Concepcin Buenavista,8,       2982199.448112,        674327.380910
-98.006694411619932,17.767974021173789,20529,MUNICIPAL,Santos Reyes Yucun,9,       2923206.504963,        648021.504461
-97.354883208441507,16.340424550635824,20213,MUNICIPAL,San Juan Quiahije,10,       2997382.746048,        492062.818432
-100.289518700692525,20.147408584557954,16031,MUNICIPAL,Epitacio Huerta,11,       2678160.085390,        905986.637274
-102.502961480553893,18.551665598934434,16096,MUNICIPAL,Tumbiscato,12,       2446993.723881,        728866.421469
-88.310429096776389,21.351741594036547,31057,MUNICIPAL,Panab,13,       3911092.410837,       1105089.009734
-102.011274867249526,29.43205979687729,05002,MUNICIPAL,Acua,14,       2498906.126016,       1929161.603666
-106.56385027089199,31.447758876435827,08037,MUNICIPAL,Jurez,15,       2064418.985520,       2159987.093477
-105.922201283210939,31.239383950183321,08053,MUNICIPAL,Praxedis G. Guerrero,16,       2125008.185483,       2134988.420392
-104.525129690455771,29.364377799382126,08052,MUNICIPAL,Ojinaga,17,       2254895.574452,       1923818.713474
-105.640284137902995,30.82861869884654,08028,MUNICIPAL,Guadalupe,18,       2150796.012167,       2088603.734743
-106.380460800895975,30.447944586143088,08001,MUNICIPAL,Ahumada,19,       2078521.007256,       2048307.978641
-105.206824816355692,29.757168125997175,08015,MUNICIPAL,Coyame del Sotol,20,       2189709.509661,       1968673.980279
-99.676015639809791,27.478491199222386,28027,MUNICIPAL,Nuevo Laredo,21,       2728962.449481,       1714878.907078
-99.481484638999419,26.904617883687575,28014,MUNICIPAL,Guerrero,22,       2749238.818357,       1651840.829026
-98.641081861732658,26.13650722437076,28015,MUNICIPAL,Gustavo Daz Ordaz,23,       2834378.753426,       1568813.246777
-99.066865377942648,26.238067378842615,28025,MUNICIPAL,Miguel Alemn,24,       2791769.447269,       1579083.650366
-98.858882893270732,26.183409001531487,28007,MUNICIPAL,Camargo,25,       2812587.052799,       1573494.011935
-99.032408994022745,25.964089677813046,19015,MUNICIPAL,Doctor Coss,26,       2795821.689458,       1548942.067186
-99.257499916615785,26.415858468202348,28024,MUNICIPAL,Mier,27,       2772433.699148,       1598318.659617
-99.884415987131433,26.647549482586651,19050,MUNICIPAL,Vallecillo,28,       2709785.372034,       1622826.505989
-99.602241903534036,26.583950404303287,19040,MUNICIPAL,Pars,29,       2737881.172418,       1616249.442712
-99.415097981533847,25.914755805387973,19027,MUNICIPAL,"Herreras, Los",30,       2757776.163364,       1542763.972561
-99.273272723414266,26.092002238489247,19003,MUNICIPAL,"Aldamas, Los",31,       2771546.227626,       1562570.120698
-99.446324468219288,26.212855559978323,19023,MUNICIPAL,General Trevio,32,       2754077.088931,       1575580.978955
-99.49307314831222,26.047387845526192,19035,MUNICIPAL,Melchor Ocampo,33,       2749745.325615,       1557250.851116
-99.998308329610552,26.03497717257946,19028,MUNICIPAL,Higueras,34,       2699435.518081,       1555091.067369
-99.703195561594256,26.072297507971697,19011,MUNICIPAL,Cerralvo,35,       2728770.364949,       1559647.254731
-99.704386338393675,26.297933735360196,19002,MUNICIPAL,Agualeguas,36,       2728253.411488,       1584530.817478
-97.532838019190336,25.611562248980853,28022,MUNICIPAL,Matamoros,37,       2946475.430556,       1513963.629199
-97.846105060577955,25.699740665751253,28040,MUNICIPAL,Valle Hermoso,38,       2914893.154933,       1522740.518205
-98.037475327938296,25.7459303870613,28033,MUNICIPAL,Ro Bravo,39,       2895643.283645,       1527290.578112
-97.958201539943971,24.889820076253386,28035,MUNICIPAL,San Fernando,40,       2906215.467408,       1433181.852538
-98.969066333952583,25.480138767805133,19013,MUNICIPAL,China,41,       2803262.615616,       1495725.638733
-98.848521559401931,25.804100139003534,19020,MUNICIPAL,General Bravo,42,       2814537.129548,       1531694.617209
-98.440185305409187,25.222805190051236,28023,MUNICIPAL,Mndez,43,       2856874.183551,       1468584.563771
-99.914418139655652,25.526075072510764,19009,MUNICIPAL,Cadereyta Jimnez,44,       2708609.186670,       1499101.915997
-99.968885357618632,25.737267406621431,19041,MUNICIPAL,Pesquera,45,       2702831.759192,       1522305.724442
-99.806187710020126,25.84914870781321,19016,MUNICIPAL,Doctor Gonzlez,46,       2718889.198032,       1534880.293425
-99.588473578181109,25.651968443791002,19042,MUNICIPAL,"Ramones, Los",47,       2740975.382628,       1513490.607518
-99.411672733015848,25.275921297619082,19022,MUNICIPAL,General Tern,48,       2759388.721651,       1472350.584625
-99.807194450384685,25.128463060278175,19038,MUNICIPAL,Montemorelos,49,       2720003.439225,       1455439.198722
-98.769613326660277,24.62965367719314,28036,MUNICIPAL,San Nicols,50,       2825326.812684,       1402453.689467
-98.84157592057403,24.929272250989634,28005,MUNICIPAL,Burgos,51,       2817353.749141,       1435299.723917
-98.520092775769839,24.262904363610581,28018,MUNICIPAL,Jimnez,52,       2851431.175231,       1362646.868299
-98.441304511540238,24.629228355250042,28010,MUNICIPAL,Cruillas,53,       2858384.931561,       1403189.398753
-98.975138344772745,24.474737642028579,28034,MUNICIPAL,San Carlos,54,       2804991.874091,       1384937.510852
-99.531440543044909,24.854044277559247,19033,MUNICIPAL,Linares,55,       2748187.662243,       1425651.159139
-99.847261347533191,24.638064256251248,19030,MUNICIPAL,Iturbide,56,       2716794.973313,       1401343.492545
-99.676086352631685,24.885065892953591,19029,MUNICIPAL,Hualahuises,57,       2733590.972171,       1428826.212890
-99.565770714805623,24.583744681114368,28020,MUNICIPAL,Mainero,58,       2745241.949298,       1395812.607910
-99.36096028453764,24.559601417387384,28042,MUNICIPAL,Villagrn,59,       2765922.747681,       1393517.888936
-98.372364869452426,25.810756381192718,28032,MUNICIPAL,Reynosa,60,       2862032.492947,       1533551.494418
